order_id,customer_id,product_id,order_date,quantity,price
1001,C002,P102,2024-01-24,4,193
1002,C003,P104,2024-01-01,1,506
1003,C005,P101,2024-01-14,4,333
1004,C002,P103,2024-01-04,2,400
1005,C005,P103,2024-01-25,1,615
1006,C002,P103,2024-01-21,4,745
1007,C003,P101,2024-01-13,2,284
1008,C003,P101,2024-01-29,5,415
1009,C002,P101,2024-01-13,2,716
1010,C002,P105,2024-01-03,4,155
1011,C004,P103,2024-01-23,4,490
1012,C004,P102,2024-01-26,5,532
1013,C005,P102,2024-01-01,4,725
1014,C001,P105,2024-01-11,1,338
1015,C004,P102,2024-01-17,5,153
1016,C005,P104,2024-01-25,4,418
1017,C005,P103,2024-01-27,1,588
1018,C003,P102,2024-01-15,1,473
1019,C003,P105,2024-01-23,2,429
1020,C001,P103,2024-01-01,5,682
1021,C004,P102,2024-01-17,1,405
1022,C004,P104,2024-01-20,1,373
1023,C005,P104,2024-01-03,4,526
1024,C001,P105,2024-01-01,4,347
1025,C002,P103,2024-01-23,2,120
1026,C001,P102,2024-01-28,3,602
1027,C005,P105,2024-01-31,1,237
1028,C004,P104,2024-01-29,5,601
1029,C002,P102,2024-01-23,2,374
1030,C002,P104,2024-01-30,3,146
1031,C005,P105,2024-01-22,2,132
1032,C001,P103,2024-01-28,1,167
1033,C004,P105,2024-01-01,5,557
1034,C004,P101,2024-01-09,5,480
1035,C001,P104,2024-01-14,4,409
1036,C005,P101,2024-01-06,1,516
1037,C002,P103,2024-01-06,5,163
1038,C004,P103,2024-01-03,3,235
1039,C003,P104,2024-01-28,5,261
1040,C005,P105,2024-01-04,1,729
1041,C004,P104,2024-01-17,5,179
1042,C004,P104,2024-01-25,3,757
1043,C003,P103,2024-01-21,4,404
1044,C005,P101,2024-01-27,2,563
1045,C005,P105,2024-01-08,4,348
1046,C005,P101,2024-01-24,5,347
1047,C005,P105,2024-01-28,2,309
1048,C003,P101,2024-01-18,2,215
1049,C003,P102,2024-01-11,5,196
1050,C002,P102,2024-01-02,5,475
1051,C001,P104,2024-01-02,3,643
1052,C003,P103,2024-01-03,4,132
1053,C005,P102,2024-01-16,4,285
1054,C003,P105,2024-01-21,2,230
1055,C001,P102,2024-01-05,3,485
1056,C004,P105,2024-01-07,3,758
1057,C003,P104,2024-01-20,3,164
1058,C004,P103,2024-01-30,1,725
1059,C002,P105,2024-01-07,1,531
1060,C001,P101,2024-01-20,2,294
