student_id,course_id,score
47,108,94
8,107,65
36,105,100
40,106,96
13,102,62
43,104,78
6,104,66
25,105,89
41,106,70
24,106,73
43,105,64
39,103,94
47,104,70
30,107,77
60,109,74
44,106,63
15,101,80
26,105,64
14,110,80
14,108,85
57,108,69
17,103,75
48,109,94
17,110,87
58,110,85
24,104,68
33,108,65
49,101,67
10,103,87
39,102,84
25,110,89
34,105,95
56,101,67
44,109,77
50,106,67
19,107,70
30,101,76
33,103,92
59,102,100
20,109,98
13,103,83
49,103,94
50,109,60
39,106,91
2,102,83
57,105,75
4,104,96
6,102,91
53,102,94
50,103,68
43,108,95
11,105,93
56,110,87
14,109,72
46,105,85
43,106,88
58,109,88
8,104,74
5,106,61
38,109,74
